# mangaid     objra           objdec             nsa_z       W80_mean             W80_75th             frac_spx                flag1   flag2  
  1-134293    240.418740846   46.085291751       0.0416784   200.06013193016776   204.8722044773154    0.5857461024498887      0       0      
  1-134503    243.873718478   44.2912632693      0.0371472   370.56385459750226   351.0383386658094    0.21022727272727273     1       2      
  1-134562    242.727439731   44.985695801       0.0355137   215.89200595027978   224.04153355121622   0.5955414012738853      0       0      
  1-134597    241.907223711   45.0653702307      0.0441938   447.7407576546842    475.03993611260546   0.05912162162162162     0       0      
  1-134599    242.978644743   46.1277269855      0.019658    236.73507004694673   242.01277955799827   0.29770992366412213     0       0      
  1-134614    243.009178672   45.7750314981      0.0528277   241.39837798511684   249.2012779607111    0.07103825136612021     0       0      
  1-134634    243.18537291    45.3520102657      0.0523251   ""                   ""                   0.0                     0       0      
  1-134695    247.216030793   42.766888444       0.0304438   ""                   ""                   0.0                     1       2      
  1-134716    246.230936349   41.9002554629      0.0446535   206.40575080322745   222.84345048409742   0.10557432432432433     0       0      
  1-134737    245.912437896   41.834008415       0.0272129   212.57513402749163   222.84345048409742   0.34637964774951074     0       0      
  1-134760    245.362216361   42.76129006        0.138175    ""                   ""                   0.0                     0       0      
  1-134760    245.362216361   42.76129006        0.138175    ""                   ""                   0.0                     0       0      
  1-134793    245.298467101   42.1387339672      0.0422411   215.47910818699341   224.04153355121622   0.7126917712691772      0       0      
  1-134848    244.331994382   43.4796723691      0.0584495   215.51400113231182   213.258785947147     0.0648854961832061      0       0      
  1-134884    245.194377712   43.1532077493      0.13407     ""                   ""                   0.0                     0       0      
  1-134924    245.662015493   43.4646577078      0.0319997   ""                   ""                   0.0                     0       0      
  1-134954    246.578190983   43.4074643202      0.0315232   ""                   ""                   0.0                     0       0      
  1-134964    246.760690284   43.4760996734      0.0462348   ""                   ""                   0.0                     0       0      
  1-134978    246.42636598    43.9317741891      0.133139    ""                   ""                   0.0                     0       0      
  1-134994    246.881870865   43.4062635412      0.129686    ""                   ""                   0.0                     1       0      
  1-135003    249.123567525   41.0395448683      0.047362    360.35676252117787   370.20766773971025   0.10465116279069768     0       0      
  1-135030    247.893876589   40.5655973228      0.0273289   310.3035143837701    310.3035143837701    9.31098696461825E-4     0       0      
  1-135044    247.907995888   41.4936431012      0.0303346   224.4033546374861    236.02236422240424   0.2630194634402946      1       3      
  1-135054    247.674430234   40.5293893805      0.0298122   359.55328617854667   391.7731629478487    0.07368421052631578     0       0      
  1-135055    247.641287575   40.5394009252      0.0300581   371.2664388222804    443.29073483395723   0.07933579335793357     0       0      
  1-135057    247.57407       40.59861           0.0288518   325.180116678723     404.35303515259614   0.38354037267080743     0       0      
  1-135058    247.800367796   40.4218744432      0.0270087   222.4956199162242    224.04153355121625   0.47960618846694797     0       0      
  1-135072    247.6627        41.2105            0.0324632   ""                   ""                   0.0                     0       0      
  1-135077    247.638466864   41.4385861863      0.0290664   ""                   ""                   0.0                     0       0      
  1-135078    247.579418669   41.1020792928      0.0295154   211.07597707143742   206.07028754443417   0.18295739348370926     0       0      
  1-135086    247.164907423   41.1110262056      0.0332592   ""                   ""                   0.0                     0       0      
  1-135091    247.114855378   41.1610029708      0.0317749   ""                   ""                   0.0                     0       0      
  1-135093    247.251721144   41.2842648761      0.0318872   320.1544196023025    335.46325879326497   0.015371477369769428    0       0      
  1-135095    247.245291144   41.255253243       0.0332324   ""                   ""                   0.0                     0       0      
  1-135115    246.900048575   41.1637663766      0.0300883   ""                   ""                   0.0                     0       0      
  1-135117    246.939953427   41.0727088634      0.0333227   ""                   ""                   0.0                     0       0      
  1-135129    247.280269588   40.5910287121      0.0327969   ""                   ""                   0.0                     0       0      
  1-135133    247.282646413   40.6650474998      0.0299683   ""                   ""                   0.0                     0       0      
  1-135134    247.225624269   40.8666111706      0.030343    ""                   ""                   0.0                     0       0      
  1-135152    246.887611078   41.1385055016      0.0301811   ""                   ""                   0.0                     0       0      
  1-135157    247.04131843    40.6956030265      0.0323713   ""                   ""                   0.0                     0       0      
  1-135202    245.865872374   41.706383369       0.0277109   358.99483903462396   392.3722044814081    0.08478260869565217     0       0      
  1-135207    246.323470587   42.6942265737      0.031485    ""                   ""                   0.0                     0       0      
  1-135227    246.704385548   42.6788992075      0.0304491   ""                   ""                   0.0                     0       0      
  1-135235    246.668109413   42.0267543146      0.0309341   ""                   ""                   0.0                     0       0      
  1-135239    246.487237926   41.5220653861      0.0427184   315.4452875468216    328.87380192411155   0.3310344827586207      0       0      
  1-135244    246.907116078   42.6382296108      0.0310462   ""                   ""                   0.0                     0       0      
  1-135285    247.21695308    42.8120113452      0.0315763   230.22364217754927   191.69329073900855   0.02883506343713956     1       3      
  1-135371    250.156240419   39.2216349362      0.0352359   214.37699680979125   226.43769968545382   0.017064846416382253    0       0      
  1-135372    250.116709759   39.3201174959      0.0300793   ""                   ""                   0.0                     0       0      
  1-135383    250.312873125   39.7523514003      0.0301398   255.1960029476257    285.1437699742752    0.26859903381642514     0       0      
  1-135468    249.135695215   39.0278800132      0.029986    342.05271566241834   343.5503194963169    0.0026490066225165563   0       0      
  1-135502    247.76417484    39.838503868       0.0305383   366.1266972923368    378.59424920954183   0.13008130081300814     0       0      
  1-135503    247.882111795   39.8976507098      0.0296457   ""                   ""                   0.0                     0       0      
  1-135506    247.948553785   39.8142396526      0.0295479   ""                   ""                   0.0                     0       0      
  1-135512    247.711831631   40.0247994472      0.0279629   ""                   ""                   0.0                     0       0      
  1-135516    248.41315       39.25763           0.0314747   303.1150159810572    345.9464856305545    0.05739514348785872     1       3      
  1-135517    248.456755755   39.2632054313      0.0317611   299.7291290522432    330.6709265247897    0.46308724832214765     1       2      
  1-135520    248.109719223   39.5177666069      0.0290694   ""                   ""                   0.0                     0       0      
  1-135530    247.409672103   40.2353879985      0.0283296   ""                   ""                   0.0                     0       0      
  1-135545    247.530374396   40.8801572026      0.0301334   230.80965193037858   227.63578275257265   0.10420475319926874     1       2      
  1-135548    247.591672626   40.9242421985      0.030559    205.0883894312192    213.258785947147     0.29909470752089135     0       0      
  1-135568    247.718035556   41.2861515449      0.0938565   272.7479934603289    333.66613419258675   0.35714285714285715     1       4      
  1-135608    249.056775643   40.7082929709      0.072013    420.5133854889631    403.75399361903675   0.1326219512195122      0       0      
  1-135625    248.507466756   41.3479443965      0.0284125   269.47620649654965   288.7380191756316    0.4672131147540984      0       0      
  1-135626    248.515175692   41.240257878       0.0613001   ""                   ""                   0.0                     1       0      
  1-135641    249.557305714   40.1468209363      0.030363    330.75820409921556   454.9720447383656    0.2672566371681416      1       4      
  1-135657    249.717085826   40.1993481631      0.0364618   309.09116842299505   307.30830671597306   0.375                   0       0      
  1-135664    249.335470504   41.1889758683      0.0316472   373.08306710079535   409.14536742107134   0.075                   0       0      
  1-135668    249.371986141   40.8799473806      0.0263847   ""                   ""                   0.0                     0       0      
  1-135679    250.349059361   40.2187885261      0.0331057   ""                   ""                   0.0                     0       0      
  1-135794    249.770169345   39.2907848202      0.0304343   ""                   ""                   0.0                     0       0      
  1-135810    250.12314401    39.2351144868      0.0297241   231.82907348748844   232.72763578782755   0.002061855670103093    0       0      
  1-136111    254.194923219   35.0481141218      0.0994427   ""                   ""                   0.0                     0       0      
  1-136120    254.997419646   36.0290774727      0.0573351   ""                   ""                   0.0                     0       0      
  1-136125    254.044140212   34.836519806       0.0316344   214.02218544659274   219.249201282741     0.24003466204506066     0       0      
  1-136248    253.793913226   36.9063091542      0.0235624   487.14057509050537   596.3458466583843    0.01968503937007874     0       0      
  1-136268    254.44755809    37.6877060265      0.0416946   243.05899294055277   259.38498403122094   0.20170454545454544     0       0      
  1-136286    255.709053426   36.7067487022      0.0327918   223.61234683223572   232.42811502104786   0.6459525756336877      0       0      
  1-136292    255.350049437   37.3828022848      0.121731    ""                   ""                   0.0                     0       0      
